season,lg,tm,players,type,player_one,player_two,player_three,player_four,player_five,player_six
2023,NBA,1st,"Joel Embiid C, Giannis Antetokounmpo F, Jayson Tatum F, Luka Dončić G, Shai Gilgeous-Alexander G",All League,203954,203507,1628369,1629029,1628983,-99
2023,NBA,2nd,"Nikola Jokić C, Jimmy Butler F, Jaylen Brown F, Donovan Mitchell G, Stephen Curry G",All League,203999,202710,1627759,1628378,201939,-99
2023,NBA,3rd,"Domantas Sabonis C, LeBron James F, Julius Randle F, De'Aaron Fox G, Damian Lillard G",All League,1627734,2544,203944,1628368,203081,-99
2022,NBA,1st,"Nikola Jokić C, Giannis Antetokounmpo F, Jayson Tatum F, Luka Dončić G, Devin Booker G",All League,203999,203507,1628369,1629029,1626164,-99
2022,NBA,2nd,"Joel Embiid C, Kevin Durant F, DeMar DeRozan F, Ja Morant G, Stephen Curry G",All League,203954,201142,201942,1629630,201939,-99
2022,NBA,3rd,"Karl-Anthony Towns C, LeBron James F, Pascal Siakam F, Chris Paul G, Trae Young G",All League,1626157,2544,1627783,101108,1629027,-99
2021,NBA,1st,"Nikola Jokić C, Giannis Antetokounmpo F, Kawhi Leonard F, Stephen Curry G, Luka Dončić G",All League,203999,203507,202695,201939,1629029,-99
2021,NBA,2nd,"Joel Embiid C, Julius Randle F, LeBron James F, Chris Paul G, Damian Lillard G",All League,203954,203944,2544,101108,203081,-99
2021,NBA,3rd,"Rudy Gobert C, Jimmy Butler F, Paul George F, Bradley Beal G, Kyrie Irving G",All League,203497,202710,202331,203078,202681,-99
2020,NBA,1st,"Anthony Davis C, Giannis Antetokounmpo F, LeBron James F, James Harden G, Luka Dončić G",All League,203076,203507,2544,201935,1629029,-99
2020,NBA,2nd,"Nikola Jokić C, Kawhi Leonard F, Pascal Siakam F, Damian Lillard G, Chris Paul G",All League,203999,202695,1627783,203081,101108,-99
2020,NBA,3rd,"Rudy Gobert C, Jayson Tatum F, Jimmy Butler F, Ben Simmons G, Russell Westbrook G",All League,203497,1628369,202710,1627732,201566,-99
2019,NBA,1st,"Nikola Jokić C, Giannis Antetokounmpo F, Paul George F, James Harden G, Stephen Curry G",All League,203999,203507,202331,201935,201939,-99
2019,NBA,2nd,"Joel Embiid C, Kevin Durant F, Kawhi Leonard F, Damian Lillard G, Kyrie Irving G",All League,203954,201142,202695,203081,202681,-99
2019,NBA,3rd,"Rudy Gobert C, LeBron James F, Blake Griffin F, Kemba Walker G, Russell Westbrook G",All League,203497,2544,201933,202689,201566,-99
2018,NBA,1st,"Anthony Davis C, LeBron James F, Kevin Durant F, Damian Lillard G, James Harden G",All League,203076,2544,201142,203081,201935,-99
2018,NBA,2nd,"Joel Embiid C, Giannis Antetokounmpo F, LaMarcus Aldridge F, Russell Westbrook G, DeMar DeRozan G",All League,203954,203507,200746,201566,201942,-99
2018,NBA,3rd,"Karl-Anthony Towns C, Jimmy Butler F, Paul George F, Stephen Curry G, Victor Oladipo G",All League,1626157,202710,202331,201939,203506,-99
2017,NBA,1st,"Anthony Davis C, LeBron James F, Kawhi Leonard F, James Harden G, Russell Westbrook G",All League,203076,2544,202695,201935,201566,-99
2017,NBA,2nd,"Rudy Gobert C, Giannis Antetokounmpo F, Kevin Durant F, Stephen Curry G, Isaiah Thomas G",All League,203497,203507,201142,201939,202738,-99
2017,NBA,3rd,"DeAndre Jordan C, Draymond Green F, Jimmy Butler F, John Wall G, DeMar DeRozan G",All League,201599,203110,202710,202322,201942,-99
2016,NBA,1st,"DeAndre Jordan C, LeBron James F, Kawhi Leonard F, Stephen Curry G, Russell Westbrook G",All League,201599,2544,202695,201939,201566,-99
2016,NBA,2nd,"DeMarcus Cousins C, Kevin Durant F, Draymond Green F, Chris Paul G, Damian Lillard G",All League,202326,201142,203110,101108,203081,-99
2016,NBA,3rd,"Andre Drummond C, Paul George F, LaMarcus Aldridge F, Klay Thompson G, Kyle Lowry G",All League,203083,202331,200746,202691,200768,-99
2015,NBA,1st,"Marc Gasol C, LeBron James F, Anthony Davis F, Stephen Curry G, James Harden G",All League,201188,2544,203076,201939,201935,-99
2015,NBA,2nd,"DeMarcus Cousins C, Pau Gasol C, LaMarcus Aldridge F, Russell Westbrook G, Chris Paul G",All League,202326,2200,200746,201566,101108,-99
2015,NBA,3rd,"DeAndre Jordan C, Blake Griffin F, Tim Duncan F, Klay Thompson G, Kyrie Irving G",All League,201599,201933,1495,202691,202681,-99
2014,NBA,1st,"Joakim Noah C, Kevin Durant F, LeBron James F, James Harden G, Chris Paul G",All League,201149,201142,2544,201935,101108,-99
2014,NBA,2nd,"Dwight Howard C, Blake Griffin F, Kevin Love F, Stephen Curry G, Tony Parker G",All League,2730,201933,201567,201939,2225,-99
2014,NBA,3rd,"Al Jefferson C, Paul George F, LaMarcus Aldridge F, Goran Dragić G, Damian Lillard G",All League,2744,202331,200746,201609,203081,-99
2013,NBA,1st,"Tim Duncan C, Kevin Durant F, LeBron James F, Kobe Bryant G, Chris Paul G",All League,1495,201142,2544,977,101108,-99
2013,NBA,2nd,"Marc Gasol C, Carmelo Anthony F, Blake Griffin F, Tony Parker G, Russell Westbrook G",All League,201188,2546,201933,2225,201566,-99
2013,NBA,3rd,"Dwight Howard C, Paul George F, David Lee F, James Harden G, Dwyane Wade G",All League,2730,202331,101135,201935,2548,-99
2012,NBA,1st,"Dwight Howard C, Kevin Durant F, LeBron James F, Kobe Bryant G, Chris Paul G",All League,2730,201142,2544,977,101108,-99
2012,NBA,2nd,"Andrew Bynum C, Blake Griffin F, Kevin Love F, Tony Parker G, Russell Westbrook G",All League,101115,201933,201567,2225,201566,-99
2012,NBA,3rd,"Tyson Chandler C, Carmelo Anthony F, Dirk Nowitzki F, Rajon Rondo G, Dwyane Wade G",All League,2199,2546,1717,200765,2548,-99
2011,NBA,1st,"Dwight Howard C, Kevin Durant F, LeBron James F, Kobe Bryant G, Derrick Rose G",All League,2730,201142,2544,977,201565,-99
2011,NBA,2nd,"Amar'e Stoudemire C, Pau Gasol F, Dirk Nowitzki F, Dwyane Wade G, Russell Westbrook G",All League,2405,2200,1717,2548,201566,-99
2011,NBA,3rd,"Al Horford C, LaMarcus Aldridge F, Zach Randolph F, Manu Ginóbili G, Chris Paul G",All League,201143,200746,2216,1938,101108,-99
2010,NBA,1st,"Dwight Howard C, Kevin Durant F, LeBron James F, Kobe Bryant G, Dwyane Wade G",All League,2730,201142,2544,977,2548,-99
2010,NBA,2nd,"Amar'e Stoudemire C, Carmelo Anthony F, Dirk Nowitzki F, Steve Nash G, Deron Williams G",All League,2405,2546,1717,959,101114,-99
2010,NBA,3rd,"Andrew Bogut C, Tim Duncan F, Pau Gasol F, Joe Johnson G, Brandon Roy G",All League,101106,1495,2200,2207,200750,-99
2009,NBA,1st,"Dwight Howard C, LeBron James F, Dirk Nowitzki F, Kobe Bryant G, Dwyane Wade G",All League,2730,2544,1717,977,2548,-99
2009,NBA,2nd,"Yao Ming C, Tim Duncan F, Paul Pierce F, Chris Paul G, Brandon Roy G",All League,2397,1495,1718,101108,200750,-99
2009,NBA,3rd,"Shaquille O'Neal C, Carmelo Anthony F, Pau Gasol F, Chauncey Billups G, Tony Parker G",All League,406,2546,2200,1497,2225,-99
2008,NBA,1st,"Dwight Howard C, Kevin Garnett F, LeBron James F, Kobe Bryant G, Chris Paul G",All League,2730,708,2544,977,101108,-99
2008,NBA,2nd,"Amar'e Stoudemire C, Tim Duncan F, Dirk Nowitzki F, Steve Nash G, Deron Williams G",All League,2405,1495,1717,959,101114,-99
2008,NBA,3rd,"Yao Ming C, Carlos Boozer F, Paul Pierce F, Manu Ginóbili G, Tracy McGrady G",All League,2397,2430,1718,1938,1503,-99
2007,NBA,1st,"Amar'e Stoudemire C, Tim Duncan F, Dirk Nowitzki F, Kobe Bryant G, Steve Nash G",All League,2405,1495,1717,977,959,-99
2007,NBA,2nd,"Yao Ming C, Chris Bosh F, LeBron James F, Gilbert Arenas G, Tracy McGrady G",All League,2397,2547,2544,2240,1503,-99
2007,NBA,3rd,"Dwight Howard C, Carmelo Anthony F, Kevin Garnett F, Chauncey Billups G, Dwyane Wade G",All League,2730,2546,708,1497,2548,-99
2006,NBA,1st,"Shaquille O'Neal C, LeBron James F, Dirk Nowitzki F, Kobe Bryant G, Steve Nash G",All League,406,2544,1717,977,959,-99
2006,NBA,2nd,"Ben Wallace C, Elton Brand F, Tim Duncan F, Chauncey Billups G, Dwyane Wade G",All League,1112,1882,1495,1497,2548,-99
2006,NBA,3rd,"Yao Ming C, Carmelo Anthony F, Shawn Marion F, Gilbert Arenas G, Allen Iverson G",All League,2397,2546,1890,2240,947,-99
2005,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Dirk Nowitzki F, Allen Iverson G, Steve Nash G",All League,406,1495,1717,947,959,-99
2005,NBA,2nd,"Amar'e Stoudemire C, Kevin Garnett F, LeBron James F, Ray Allen G, Dwyane Wade G",All League,2405,708,2544,951,2548,-99
2005,NBA,3rd,"Ben Wallace C, Shawn Marion F, Tracy McGrady F, Gilbert Arenas G, Kobe Bryant G",All League,1112,1890,1503,2240,977,-99
2004,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Kevin Garnett F, Kobe Bryant G, Jason Kidd G",All League,406,1495,708,977,467,-99
2004,NBA,2nd,"Ben Wallace C, Jermaine O'Neal F, Peja Stojaković F, Sam Cassell G, Tracy McGrady G",All League,1112,979,978,208,1503,-99
2004,NBA,3rd,"Yao Ming C, Metta World Peace F, Dirk Nowitzki F, Baron Davis G, Michael Redd G",All League,2397,1897,1717,1884,2072,-99
2003,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Kevin Garnett F, Kobe Bryant G, Tracy McGrady G",All League,406,1495,708,977,1503,-99
2003,NBA,2nd,"Ben Wallace C, Dirk Nowitzki F, Chris Webber F, Allen Iverson G, Jason Kidd G",All League,1112,1717,185,947,467,-99
2003,NBA,3rd,"Jermaine O'Neal C, Jamal Mashburn F, Paul Pierce F, Stephon Marbury G, Steve Nash G",All League,979,469,1718,950,959,-99
2002,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Tracy McGrady F, Kobe Bryant G, Jason Kidd G",All League,406,1495,1503,977,467,-99
2002,NBA,2nd,"Dirk Nowitzki C, Kevin Garnett F, Chris Webber F, Allen Iverson G, Gary Payton G",All League,1717,708,185,947,56,-99
2002,NBA,3rd,"Dikembe Mutombo C, Jermaine O'Neal F, Ben Wallace F, Steve Nash G, Paul Pierce G",All League,87,979,1112,959,1718,-99
2001,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Chris Webber F, Allen Iverson G, Jason Kidd G",All League,406,1495,185,947,467,-99
2001,NBA,2nd,"Dikembe Mutombo C, Vince Carter F, Kevin Garnett F, Kobe Bryant G, Tracy McGrady G",All League,87,1713,708,977,1503,-99
2001,NBA,3rd,"David Robinson C, Karl Malone F, Dirk Nowitzki F, Ray Allen G, Gary Payton G",All League,764,252,1717,951,56,-99
2000,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Kevin Garnett F, Jason Kidd G, Gary Payton G",All League,406,1495,708,467,56,-99
2000,NBA,2nd,"Alonzo Mourning C, Grant Hill F, Karl Malone F, Kobe Bryant G, Allen Iverson G",All League,297,255,252,977,947,-99
2000,NBA,3rd,"David Robinson C, Vince Carter F, Chris Webber F, Eddie Jones G, Stephon Marbury G",All League,764,1713,185,224,950,-99
1999,NBA,1st,"Alonzo Mourning C, Tim Duncan F, Karl Malone F, Allen Iverson G, Jason Kidd G",All League,297,1495,252,947,467,-99
1999,NBA,2nd,"Shaquille O'Neal C, Grant Hill F, Chris Webber F, Tim Hardaway G, Gary Payton G",All League,406,255,185,896,56,-99
1999,NBA,3rd,"Hakeem Olajuwon C, Kevin Garnett F, Antonio McDyess F, Kobe Bryant G, John Stockton G",All League,165,708,686,977,304,-99
1998,NBA,1st,"Shaquille O'Neal C, Tim Duncan F, Karl Malone F, Michael Jordan G, Gary Payton G",All League,406,1495,252,893,56,-99
1998,NBA,2nd,"David Robinson C, Vin Baker F, Grant Hill F, Tim Hardaway G, Rod Strickland G",All League,764,452,255,896,393,-99
1998,NBA,3rd,"Dikembe Mutombo C, Scottie Pippen F, Glen Rice F, Reggie Miller G, Mitch Richmond G",All League,87,937,203318,397,782,-99
1997,NBA,1st,"Hakeem Olajuwon C, Grant Hill F, Karl Malone F, Tim Hardaway G, Michael Jordan G",All League,165,255,252,896,893,-99
1997,NBA,2nd,"Patrick Ewing C, Scottie Pippen F, Glen Rice F, Gary Payton G, Mitch Richmond G",All League,121,937,203318,56,782,-99
1997,NBA,3rd,"Shaquille O'Neal C, Vin Baker F, Anthony Mason F, Anfernee Hardaway G, John Stockton G",All League,406,452,193,358,304,-99
1996,NBA,1st,"David Robinson C, Karl Malone F, Scottie Pippen F, Anfernee Hardaway G, Michael Jordan G",All League,764,252,937,358,893,-99
1996,NBA,2nd,"Hakeem Olajuwon C, Grant Hill F, Shawn Kemp F, Gary Payton G, John Stockton G",All League,165,255,431,56,304,-99
1996,NBA,3rd,"Shaquille O'Neal C, Charles Barkley F, Juwan Howard F, Reggie Miller G, Mitch Richmond G",All League,406,787,436,397,782,-99
1995,NBA,1st,"David Robinson C, Karl Malone F, Scottie Pippen F, Anfernee Hardaway G, John Stockton G",All League,764,252,937,358,304,-99
1995,NBA,2nd,"Shaquille O'Neal C, Charles Barkley F, Shawn Kemp F, Gary Payton G, Mitch Richmond G",All League,406,787,431,56,782,-99
1995,NBA,3rd,"Hakeem Olajuwon C, Dennis Rodman F, Detlef Schrempf F, Clyde Drexler G, Reggie Miller G",All League,165,23,96,17,397,-99
1994,NBA,1st,"Hakeem Olajuwon C, Karl Malone F, Scottie Pippen F, Latrell Sprewell G, John Stockton G",All League,165,252,937,84,304,-99
1994,NBA,2nd,"David Robinson C, Charles Barkley F, Shawn Kemp F, Kevin Johnson G, Mitch Richmond G",All League,764,787,431,134,782,-99
1994,NBA,3rd,"Shaquille O'Neal C, Derrick Coleman F, Dominique Wilkins F, Gary Payton G, Mark Price G",All League,406,934,1122,56,899,-99
1993,NBA,1st,"Hakeem Olajuwon C, Charles Barkley F, Karl Malone F, Michael Jordan G, Mark Price G",All League,165,787,252,893,899,-99
1993,NBA,2nd,"Patrick Ewing C, Larry Johnson F, Dominique Wilkins F, Joe Dumars G, John Stockton G",All League,121,913,1122,247,304,-99
1993,NBA,3rd,"David Robinson C, Derrick Coleman F, Scottie Pippen F, Tim Hardaway G, Dražen Petrović G",All League,764,934,937,896,77845,-99
1992,NBA,1st,"David Robinson C, Karl Malone F, Chris Mullin F, Clyde Drexler G, Michael Jordan G",All League,764,252,904,17,893,-99
1992,NBA,2nd,"Patrick Ewing C, Charles Barkley F, Scottie Pippen F, Tim Hardaway G, John Stockton G",All League,121,787,937,896,304,-99
1992,NBA,3rd,"Brad Daugherty C, Dennis Rodman F, Kevin Willis F, Kevin Johnson G, Mark Price G",All League,921,23,788,134,899,-99
1991,NBA,1st,"David Robinson C, Charles Barkley F, Karl Malone F, Magic Johnson G, Michael Jordan G",All League,764,787,252,77142,893,-99
1991,NBA,2nd,"Patrick Ewing C, Chris Mullin F, Dominique Wilkins F, Clyde Drexler G, Kevin Johnson G",All League,121,904,1122,17,134,-99
1991,NBA,3rd,"Hakeem Olajuwon C, Bernard King F, James Worthy F, Joe Dumars G, John Stockton G",All League,165,77264,1460,247,304,-99
1990,NBA,1st,"Patrick Ewing C, Charles Barkley F, Karl Malone F, Magic Johnson G, Michael Jordan G",All League,121,787,252,77142,893,-99
1990,NBA,2nd,"Hakeem Olajuwon C, Larry Bird F, Tom Chambers F, Kevin Johnson G, John Stockton G",All League,165,1449,1472,134,304,-99
1990,NBA,3rd,"David Robinson C, Chris Mullin F, James Worthy F, Clyde Drexler G, Joe Dumars G",All League,764,904,1460,17,247,-99
1989,NBA,1st,"Hakeem Olajuwon C, Charles Barkley F, Karl Malone F, Magic Johnson G, Michael Jordan G",All League,165,787,252,77142,893,-99
1989,NBA,2nd,"Patrick Ewing C, Tom Chambers F, Chris Mullin F, Kevin Johnson G, John Stockton G",All League,121,1472,904,134,304,-99
1989,NBA,3rd,"Robert Parish C, Terry Cummings F, Dominique Wilkins F, Dale Ellis G, Mark Price G",All League,305,187,1122,107,899,-99
1988,NBA,1st,"Hakeem Olajuwon C, Charles Barkley F, Larry Bird F, Magic Johnson G, Michael Jordan G",All League,165,787,1449,77142,893,-99
1988,NBA,2nd,"Patrick Ewing C, Karl Malone F, Dominique Wilkins F, Clyde Drexler G, John Stockton G",All League,121,252,1122,17,304,-99
1987,NBA,1st,"Hakeem Olajuwon C, Larry Bird F, Kevin McHale F, Magic Johnson G, Michael Jordan G",All League,165,1449,1450,77142,893,-99
1987,NBA,2nd,"Moses Malone C, Charles Barkley F, Dominique Wilkins F, Fat Lever G, Isiah Thomas G",All League,77449,787,1122,77376,78318,-99
1986,NBA,1st,"Kareem Abdul-Jabbar C, Larry Bird F, Dominique Wilkins F, Magic Johnson G, Isiah Thomas G",All League,76003,1449,1122,77142,78318,-99
1986,NBA,2nd,"Hakeem Olajuwon C, Charles Barkley F, Alex English F, Sidney Moncrief G, Alvin Robertson G",All League,165,787,76673,77626,926,-99
1985,NBA,1st,"Moses Malone C, Larry Bird F, Bernard King F, Magic Johnson G, Isiah Thomas G",All League,77449,1449,77264,77142,78318,-99
1985,NBA,2nd,"Kareem Abdul-Jabbar C, Terry Cummings F, Ralph Sampson F, Michael Jordan G, Sidney Moncrief G",All League,76003,187,78055,893,77626,-99
1984,NBA,1st,"Kareem Abdul-Jabbar C, Larry Bird F, Bernard King F, Magic Johnson G, Isiah Thomas G",All League,76003,1449,77264,77142,78318,-99
1984,NBA,2nd,"Moses Malone C, Adrian Dantley F, Julius Erving F, Sidney Moncrief G, Jim Paxson G",All League,77449,76504,76681,77626,77819,-99
1983,NBA,1st,"Moses Malone C, Larry Bird F, Julius Erving F, Magic Johnson G, Sidney Moncrief G",All League,77449,1449,76681,77142,77626,-99
1983,NBA,2nd,"Kareem Abdul-Jabbar C, Alex English F, Buck Williams F, George Gervin G, Isiah Thomas G",All League,76003,76673,433,76804,78318,-99
1982,NBA,1st,"Moses Malone C, Larry Bird F, Julius Erving F, George Gervin G, Gus Williams G",All League,77449,1449,76681,76804,78549,-99
1982,NBA,2nd,"Robert Parish C, Alex English F, Bernard King F, Magic Johnson G, Sidney Moncrief G",All League,305,76673,77264,77142,77626,-99
1981,NBA,1st,"Kareem Abdul-Jabbar C, Larry Bird F, Julius Erving F, George Gervin G, Dennis Johnson G",All League,76003,1449,76681,76804,77141,-99
1981,NBA,2nd,"Moses Malone C, Adrian Dantley F, Marques Johnson F, Tiny Archibald G, Otis Birdsong G",All League,77449,76504,77160,76054,76170,-99
1980,NBA,1st,"Kareem Abdul-Jabbar C, Larry Bird F, Julius Erving F, George Gervin G, Paul Westphal G",All League,76003,1449,76681,76804,78500,-99
1980,NBA,2nd,"Moses Malone C, Marques Johnson F, Dan Roundfield F, Dennis Johnson G, Gus Williams G",All League,77449,77160,78025,77141,78549,-99
2023,NBA,1st,"Paolo Banchero, Walker Kessler, Bennedict Mathurin, Keegan Murray, Jalen Williams",All Rookie,1631094,1631117,1631097,1631099,1631114,-99
2023,NBA,2nd,"Jalen Duren, Tari Eason, Jaden Ivey, Jabari Smith, Jeremy Sochan",All Rookie,1631105,1631106,1631093,2074,1631110,-99
2022,NBA,1st,"Scottie Barnes, Cade Cunningham, Evan Mobley, Franz Wagner, Jalen Green",All Rookie,1630567,1630595,1630596,1630532,1630224,-99
2022,NBA,2nd,"Herbert Jones, Josh Giddey, Bones Hyland, Ayo Dosunmu, Chris Duarte",All Rookie,1630529,1630581,1630538,1630245,1630537,-99
2021,NBA,1st,"LaMelo Ball, Saddiq Bey, Anthony Edwards, Tyrese Haliburton, Jae'Sean Tate",All Rookie,1630163,1630180,1630162,1630169,1630256,-99
2021,NBA,2nd,"Desmond Bane, Isaac Okoro, Immanuel Quickley, Isaiah Stewart, Patrick Williams",All Rookie,1630217,1630171,1630193,1630191,1630172,-99
2020,NBA,1st,"Ja Morant, Kendrick Nunn, Brandon Clarke, Zion Williamson, Eric Paschall",All Rookie,1629630,1629134,1629634,1629627,1629672,-99
2020,NBA,2nd,"Tyler Herro, Terence Davis, Coby White, P.J. Washington, Rui Hachimura",All Rookie,1629639,1629056,1629632,1629023,1629060,-99
2019,NBA,1st,"Luka Dončić, Trae Young, Deandre Ayton, Jaren Jackson, Marvin Bagley",All Rookie,1629029,1629027,1629028,1114,1628963,-99
2019,NBA,2nd,"Shai Gilgeous-Alexander, Collin Sexton, Landry Shamet, Mitchell Robinson, Kevin Huerter",All Rookie,1628983,1629012,1629013,1629011,1628989,-99
2018,NBA,1st,"Donovan Mitchell, Ben Simmons, Jayson Tatum, Kyle Kuzma, Lauri Markkanen",All Rookie,1628378,1627732,1628369,1628398,1628374,-99
2018,NBA,2nd,"Dennis Smith, Lonzo Ball, John Collins, Bogdan Bogdanović, Josh Jackson",All Rookie,1628372,1628366,1628381,203992,1628367,-99
2017,NBA,1st,"Malcolm Brogdon, Dario Šarić, Joel Embiid, Buddy Hield, Willy Hernangómez",All Rookie,1627763,203967,203954,1627741,1626195,-99
2017,NBA,2nd,"Jamal Murray, Jaylen Brown, Marquese Chriss, Brandon Ingram, Yogi Ferrell",All Rookie,1627750,1627759,1627737,1627742,1627812,-99
2016,NBA,1st,"Karl-Anthony Towns, Kristaps Porziņģis, Devin Booker, Nikola Jokić, Jahlil Okafor",All Rookie,1626157,204001,1626164,203999,1626143,-99
2016,NBA,2nd,"Justise Winslow, D'Angelo Russell, Emmanuel Mudiay, Myles Turner, Willie Cauley-Stein",All Rookie,1626159,1626156,1626144,1626167,1626161,-99
2015,NBA,1st,"Andrew Wiggins, Nikola Mirotić, Nerlens Noel, Elfrid Payton, Jordan Clarkson",All Rookie,203952,202703,203457,203901,203903,-99
