season,lg,tm,players,type,player_one,player_two,player_three,player_four,player_five,player_six
2015,NBA,2nd,"Marcus Smart, Zach LaVine, Bojan Bogdanović, Jusuf Nurkić, Langston Galloway",All Rookie,203935,203897,202711,203994,204038,-99
2014,NBA,1st,"Michael Carter-Williams, Victor Oladipo, Trey Burke, Mason Plumlee, Tim Hardaway",All Rookie,203487,203506,203504,203486,896,-99
2014,NBA,2nd,"Kelly Olynyk, Giannis Antetokounmpo, Gorgui Dieng, Cody Zeller, Steven Adams",All Rookie,203482,203507,203476,203469,203500,-99
2013,NBA,1st,"Harrison Barnes, Bradley Beal, Anthony Davis, Damian Lillard, Dion Waiters",All Rookie,203084,203078,203076,203081,203079,-99
2013,NBA,2nd,"Andre Drummond, Michael Kidd-Gilchrist, Kyle Singler, Jonas Valančiūnas, Tyler Zeller",All Rookie,203083,203077,202713,202685,203092,-99
2012,NBA,1st,"Kenneth Faried, Kyrie Irving, Ricky Rubio, Klay Thompson, Brandon Knight, Kawhi Leonard (T)",All Rookie,202702,202681,201937,202691,202688,202695
2012,NBA,2nd,"MarShon Brooks, Chandler Parsons, Isaiah Thomas, Tristan Thompson, Derrick Williams",All Rookie,202705,202718,202738,202684,202682,-99
2011,NBA,1st,"DeMarcus Cousins, Landry Fields, Blake Griffin, Gary Neal, John Wall",All Rookie,202326,202361,201933,202390,202322,-99
2011,NBA,2nd,"Eric Bledsoe, Derrick Favors, Paul George, Wesley Johnson, Greg Monroe",All Rookie,202339,202324,202331,202325,202328,-99
2010,NBA,1st,"Darren Collison, Stephen Curry, Tyreke Evans, Taj Gibson, Brandon Jennings",All Rookie,201954,201939,201936,201959,201943,-99
2010,NBA,2nd,"DeJuan Blair, Jonny Flynn, James Harden, Jonas Jerebko, Marcus Thornton",All Rookie,201971,201938,201935,201973,201977,-99
2009,NBA,1st,"Michael Beasley, Brook Lopez, O.J. Mayo, Derrick Rose, Russell Westbrook",All Rookie,201563,201572,201564,201565,201566,-99
2009,NBA,2nd,"Mario Chalmers, Marc Gasol, Eric Gordon, Kevin Love, D.J. Augustin, Rudy Fernández (T)",All Rookie,201596,201188,201569,201567,201571,201164
2008,NBA,1st,"Kevin Durant, Jeff Green, Al Horford, Luis Scola, Al Thornton",All Rookie,201142,201145,201143,2449,201154,-99
2008,NBA,2nd,"Carl Landry, Jamario Moon, Juan Carlos Navarro, Rodney Stuckey, Thaddeus Young",All Rookie,201171,200081,2434,201155,201152,-99
2007,NBA,1st,"Andrea Bargnani, Randy Foye, Rudy Gay, Brandon Roy, LaMarcus Aldridge, Jorge Garbajosa (T)",All Rookie,200745,200751,-99,-99,200746,200816
2007,NBA,2nd,"Paul Millsap, Adam Morrison, Craig Smith, Tyrus Thomas, Walter Herrmann, Rajon Rondo (T)",All Rookie,200794,200747,200783,200748,200835,200765
2006,NBA,1st,"Andrew Bogut, Channing Frye, Chris Paul, Charlie Villanueva, Deron Williams",All Rookie,101106,101112,101108,101111,101114,-99
2006,NBA,2nd,"Raymond Felton, Ryan Gomes, Danny Granger, Luther Head, Marvin Williams",All Rookie,101109,101155,101122,101129,101107,-99
2005,NBA,1st,"Luol Deng, Ben Gordon, Dwight Howard, Andre Iguodala, Emeka Okafor",All Rookie,2736,2732,2730,2738,2731,-99
2005,NBA,2nd,"Josh Childress, Al Jefferson, Nenad Krstić, Jameer Nelson, Josh Smith",All Rookie,2735,2744,2420,2749,2746,-99
2004,NBA,1st,"Carmelo Anthony, Chris Bosh, Kirk Hinrich, LeBron James, Dwyane Wade",All Rookie,2546,2547,2550,2544,2548,-99
2004,NBA,2nd,"Marquis Daniels, T.J. Ford, Udonis Haslem, Jarvis Hayes, Josh Howard",All Rookie,2605,2551,2617,2553,2572,-99
2003,NBA,1st,"Caron Butler, Drew Gooden, Nenê Hilário, Yao Ming, Amar'e Stoudemire",All Rookie,2406,2400,2403,2397,2405,-99
2003,NBA,2nd,"Carlos Boozer, J.R. Bremer, Manu Ginóbili, Gordan Giriček, Jay Williams",All Rookie,2430,2452,1938,1921,2398,-99
2002,NBA,1st,"Shane Battier, Pau Gasol, Andrei Kirilenko, Tony Parker, Jason Richardson",All Rookie,2203,2200,1905,2225,2202,-99
2002,NBA,2nd,"Eddie Griffin, Richard Jefferson, Željko Rebrača, Jamaal Tinsley, Joe Johnson, Vladimir Radmanović (T)",All Rookie,2204,2210,1442,2224,2207,2209
2001,NBA,1st,"Marc Jackson, Kenyon Martin, Darius Miles, Mike Miller, Morris Peterson",All Rookie,1531,2030,2032,2034,2050,-99
2001,NBA,2nd,"Courtney Alexander, Marcus Fizer, Desmond Mason, Chris Mihm, Hedo Türkoğlu",All Rookie,2042,2033,2046,2036,2045,-99
2000,NBA,1st,"Elton Brand, Steve Francis, Andre Miller, Lamar Odom, Wally Szczerbiak",All Rookie,1882,1883,1889,1885,1887,-99
2000,NBA,2nd,"Metta World Peace, Chucky Atkins, Shawn Marion, James Posey, Jason Terry",All Rookie,1897,1088,1890,1899,1891,-99
1999,NBA,1st,"Mike Bibby, Vince Carter, Matt Harpring, Paul Pierce, Jason Williams",All Rookie,1710,1713,1723,1718,1715,-99
1999,NBA,2nd,"Michael Dickerson, Michael Doleac, Antawn Jamison, Cuttino Mobley, Michael Olowokandi",All Rookie,1722,1720,1712,1749,1709,-99
1998,NBA,1st,"Tim Duncan, Zydrunas Ilgauskas, Brevin Knight, Ron Mercer, Keith Van Horn",All Rookie,1495,980,1510,1500,1496,-99
1998,NBA,2nd,"Derek Anderson, Cedric Henderson, Bobby Jackson, Maurice Taylor, Tim Thomas",All Rookie,1507,-99,1517,1508,1501,-99
1997,NBA,1st,"Shareef Abdur-Rahim, Marcus Camby, Allen Iverson, Stephon Marbury, Antoine Walker",All Rookie,949,948,947,950,952,-99
1997,NBA,2nd,"Ray Allen, Kobe Bryant, Kerry Kittles, Travis Knight, Matt Maloney",All Rookie,951,977,954,969,1074,-99
1996,NBA,1st,"Antonio McDyess, Joe Smith, Jerry Stackhouse, Damon Stoudamire, Michael Finley, Arvydas Sabonis (T)",All Rookie,686,693,711,757,714,717
1996,NBA,2nd,"Brent Barry, Tyus Edney, Kevin Garnett, Bryant Reeves, Rasheed Wallace",All Rookie,699,721,708,735,739,-99
1995,NBA,1st,"Brian Grant, Grant Hill, Eddie Jones, Jason Kidd, Glenn Robinson",All Rookie,258,255,224,467,299,-99
1995,NBA,2nd,"Juwan Howard, Eric Montross, Wesley Person, Jalen Rose, Donyell Marshall, Sharone Wright (T)",All Rookie,436,376,445,147,923,412
1994,NBA,1st,"Vin Baker, Anfernee Hardaway, Jamal Mashburn, Isaiah Rider, Chris Webber",All Rookie,452,358,469,375,185,-99
1994,NBA,2nd,"Shawn Bradley, Lindsey Hunter, Toni Kukoč, Dino Rađa, Nick Van Exel",All Rookie,762,283,389,129,89,-99
1993,NBA,1st,"LaPhonso Ellis, Tom Gugliotta, Christian Laettner, Alonzo Mourning, Shaquille O'Neal",All Rookie,111,339,363,297,406,-99
1993,NBA,2nd,"Richard Dumas, Robert Horry, Latrell Sprewell, Clarence Weatherspoon, Walt Williams",All Rookie,30,109,84,221,1005,-99
1992,NBA,1st,"Stacey Augmon, Larry Johnson, Dikembe Mutombo, Billy Owens, Steve Smith",All Rookie,278,913,87,182,0,-99
1992,NBA,2nd,"Terrell Brandon, Rick Fox, Mark Macon, Stanley Roberts, Larry Stewart",All Rookie,210,-99,1855,914,1125,-99
1991,NBA,1st,"Dee Brown, Derrick Coleman, Kendall Gill, Dennis Scott, Lionel Simmons",All Rookie,-99,934,383,192,1489,-99
1991,NBA,2nd,"Mahmoud Abdul-Rauf, Willie Burton, Travis Mays, Gary Payton, Felton Spencer",All Rookie,51,416,77496,56,280,-99
1990,NBA,1st,"Vlade Divac, Sherman Douglas, Tim Hardaway, Pooh Richardson, David Robinson",All Rookie,124,428,896,71,764,-99
1990,NBA,2nd,"Blue Edwards, Sean Elliott, Stacey King, J.R. Reid, Glen Rice",All Rookie,898,251,351,462,203318,-99
1989,NBA,1st,"Willie Anderson, Hersey Hawkins, Mitch Richmond, Charles Smith, Rik Smits",All Rookie,335,765,782,-99,22,-99
1989,NBA,2nd,"Rex Chapman, Kevin Edwards, Chris Morris, Brian Shaw, Rod Strickland",All Rookie,364,236,356,216,393,-99
1988,NBA,1st,"Greg Anderson, Armen Gilliam, Mark Jackson, Derrick McKey, Kenny Smith",All Rookie,246,288,349,365,181,-99
1987,NBA,1st,"Brad Daugherty, Ron Harper, Chuck Person, Roy Tarpley, Hot Rod Williams",All Rookie,921,166,456,78293,73,-99
1986,NBA,1st,"Joe Dumars, Patrick Ewing, Karl Malone, Xavier McDaniel, Charles Oakley",All Rookie,247,121,252,1365,891,-99
1985,NBA,1st,"Charles Barkley, Sam Bowie, Michael Jordan, Hakeem Olajuwon, Sam Perkins",All Rookie,787,76217,893,165,64,-99
1984,NBA,1st,"Jeff Malone, Ralph Sampson, Byron Scott, Steve Stipanovich, Thurl Bailey, Darrell Walker (T)",All Rookie,117,78055,2,78257,1847,78437
1983,NBA,1st,"Terry Cummings, Quintin Dailey, Clark Kellogg, Dominique Wilkins, James Worthy",All Rookie,187,76497,77236,1122,1460,-99
1982,NBA,1st,"Jeff Ruland, Isiah Thomas, Kelly Tripucka, Jay Vincent, Buck Williams",All Rookie,78041,78318,78369,78418,433,-99
1981,NBA,1st,"Joe Barry Carroll, Darrell Griffith, Kevin McHale, Kelvin Ransey, Larry Smith",All Rookie,76353,76890,1450,77911,78195,-99
1980,NBA,1st,"Larry Bird, Bill Cartwright, Dave Greenwood, Magic Johnson, Calvin Natt",All Rookie,1449,76362,76881,77142,77691,-99
2023,NBA,1st,"Alex Caruso, Jrue Holiday, Jaren Jackson, Brook Lopez, Evan Mobley",All Defensive,1627936,201950,1114,201572,1630596,-99
2023,NBA,2nd,"Bam Adebayo, OG Anunoby, Dillon Brooks, Draymond Green, Derrick White",All Defensive,1628389,1628384,1628415,203110,1628401,-99
2022,NBA,1st,"Giannis Antetokounmpo, Mikal Bridges, Rudy Gobert, Jaren Jackson, Marcus Smart",All Defensive,203507,1628969,203497,1114,203935,-99
2022,NBA,2nd,"Bam Adebayo, Draymond Green, Jrue Holiday, Matisse Thybulle, Robert Williams",All Defensive,1628389,203110,201950,1629680,1629057,-99
2021,NBA,1st,"Rudy Gobert, Ben Simmons, Draymond Green, Jrue Holiday, Giannis Antetokounmpo",All Defensive,203497,1627732,203110,201950,203507,-99
2021,NBA,2nd,"Bam Adebayo, Jimmy Butler, Joel Embiid, Matisse Thybulle, Kawhi Leonard",All Defensive,1628389,202710,203954,1629680,202695,-99
2020,NBA,1st,"Giannis Antetokounmpo, Anthony Davis, Ben Simmons, Rudy Gobert, Marcus Smart",All Defensive,203507,203076,1627732,203497,203935,-99
2020,NBA,2nd,"Kawhi Leonard, Brook Lopez, Bam Adebayo, Patrick Beverley, Eric Bledsoe",All Defensive,202695,201572,1628389,201976,202339,-99
2019,NBA,1st,"Rudy Gobert, Paul George, Giannis Antetokounmpo, Marcus Smart, Eric Bledsoe",All Defensive,203497,202331,203507,203935,202339,-99
2019,NBA,2nd,"Jrue Holiday, Klay Thompson, Joel Embiid, Draymond Green, Kawhi Leonard",All Defensive,201950,202691,203954,203110,202695,-99
2018,NBA,1st,"Rudy Gobert, Anthony Davis, Victor Oladipo, Robert Covington, Jrue Holiday",All Defensive,203497,203076,203506,203496,201950,-99
2018,NBA,2nd,"Joel Embiid, Draymond Green, Al Horford, Dejounte Murray, Jimmy Butler",All Defensive,203954,203110,201143,1627749,202710,-99
2017,NBA,1st,"Kawhi Leonard, Draymond Green, Rudy Gobert, Patrick Beverley, Chris Paul",All Defensive,202695,203110,203497,201976,101108,-99
2017,NBA,2nd,"Tony Allen, Danny Green, Andre Roberson, Anthony Davis, Giannis Antetokounmpo",All Defensive,2754,201980,203460,203076,203507,-99
2016,NBA,1st,"Kawhi Leonard, Draymond Green, DeAndre Jordan, Avery Bradley, Chris Paul",All Defensive,202695,203110,201599,202340,101108,-99
2016,NBA,2nd,"Paul Millsap, Paul George, Hassan Whiteside, Tony Allen, Jimmy Butler",All Defensive,200794,202331,202355,2754,202710,-99
2015,NBA,1st,"Kawhi Leonard, Draymond Green, Tony Allen, DeAndre Jordan, Chris Paul",All Defensive,202695,203110,2754,201599,101108,-99
2015,NBA,2nd,"Anthony Davis, Jimmy Butler, Andrew Bogut, John Wall, Tim Duncan",All Defensive,203076,202710,101106,202322,1495,-99
2014,NBA,1st,"Joakim Noah, Paul George, Chris Paul, Serge Ibaka, Andre Iguodala",All Defensive,201149,202331,101108,201586,2738,-99
2014,NBA,2nd,"LeBron James, Patrick Beverley, Jimmy Butler, Kawhi Leonard, Roy Hibbert",All Defensive,2544,201976,202710,202695,201579,-99
2013,NBA,1st,"Tony Allen, Serge Ibaka, LeBron James, Chris Paul, Tyson Chandler, Joakim Noah (T)",All Defensive,2754,201586,2544,101108,2199,201149
2013,NBA,2nd,"Avery Bradley, Mike Conley, Tim Duncan, Marc Gasol, Paul George",All Defensive,202340,201144,1495,201188,202331,-99
2012,NBA,1st,"Tony Allen, Dwight Howard, Serge Ibaka, LeBron James, Chris Paul",All Defensive,2754,2730,201586,2544,101108,-99
2012,NBA,2nd,"Kobe Bryant, Tyson Chandler, Luol Deng, Kevin Garnett, Rajon Rondo",All Defensive,977,2199,2736,708,200765,-99
2011,NBA,1st,"Kobe Bryant, Kevin Garnett, Dwight Howard, LeBron James, Rajon Rondo",All Defensive,977,708,2730,2544,200765,-99
2011,NBA,2nd,"Tony Allen, Tyson Chandler, Andre Iguodala, Joakim Noah, Chris Paul",All Defensive,2754,2199,2738,201149,101108,-99
2010,NBA,1st,"Kobe Bryant, Dwight Howard, LeBron James, Rajon Rondo, Gerald Wallace",All Defensive,977,2730,2544,200765,2222,-99
2010,NBA,2nd,"Tim Duncan, Thabo Sefolosha, Josh Smith, Anderson Varejão, Dwyane Wade",All Defensive,1495,200757,2746,2760,2548,-99
2009,NBA,1st,"Kobe Bryant, Kevin Garnett, Dwight Howard, LeBron James, Chris Paul",All Defensive,977,708,2730,2544,101108,-99
2009,NBA,2nd,"Metta World Peace, Shane Battier, Tim Duncan, Rajon Rondo, Dwyane Wade",All Defensive,1897,2203,1495,200765,2548,-99
2008,NBA,1st,"Bruce Bowen, Kobe Bryant, Marcus Camby, Tim Duncan, Kevin Garnett",All Defensive,1477,977,948,1495,708,-99
2008,NBA,2nd,"Shane Battier, Raja Bell, Dwight Howard, Chris Paul, Tayshaun Prince",All Defensive,2203,1952,2730,101108,2419,-99
2007,NBA,1st,"Raja Bell, Bruce Bowen, Kobe Bryant, Marcus Camby, Tim Duncan",All Defensive,1952,1477,977,948,1495,-99
2007,NBA,2nd,"Kevin Garnett, Kirk Hinrich, Jason Kidd, Tayshaun Prince, Ben Wallace",All Defensive,708,2550,467,2419,1112,-99
2006,NBA,1st,"Metta World Peace, Bruce Bowen, Andrei Kirilenko, Ben Wallace, Kobe Bryant, Jason Kidd (T)",All Defensive,1897,1477,1905,1112,977,467
2006,NBA,2nd,"Chauncey Billups, Marcus Camby, Tim Duncan, Kevin Garnett, Tayshaun Prince",All Defensive,1497,948,1495,708,2419,-99
2005,NBA,1st,"Bruce Bowen, Tim Duncan, Kevin Garnett, Larry Hughes, Ben Wallace",All Defensive,1477,1495,708,1716,1112,-99
2005,NBA,2nd,"Chauncey Billups, Marcus Camby, Andrei Kirilenko, Tayshaun Prince, Jason Kidd, Dwyane Wade (T)",All Defensive,1497,948,1905,2419,467,2548
2004,NBA,1st,"Metta World Peace, Bruce Bowen, Kobe Bryant, Kevin Garnett, Ben Wallace",All Defensive,1897,1477,977,708,1112,-99
2004,NBA,2nd,"Doug Christie, Tim Duncan, Jason Kidd, Andrei Kirilenko, Theo Ratliff",All Defensive,57,1495,467,1905,689,-99
2003,NBA,1st,"Kobe Bryant, Doug Christie, Tim Duncan, Kevin Garnett, Ben Wallace",All Defensive,977,57,1495,708,1112,-99
2003,NBA,2nd,"Metta World Peace, Bruce Bowen, Jason Kidd, Shaquille O'Neal, Eric Snow",All Defensive,1897,1477,467,406,727,-99
2002,NBA,1st,"Tim Duncan, Kevin Garnett, Jason Kidd, Gary Payton, Ben Wallace",All Defensive,1495,708,467,56,1112,-99
2002,NBA,2nd,"Bruce Bowen, Kobe Bryant, Doug Christie, Dikembe Mutombo, Clifford Robinson",All Defensive,1477,977,57,87,361,-99
2001,NBA,1st,"Tim Duncan, Kevin Garnett, Jason Kidd, Dikembe Mutombo, Gary Payton",All Defensive,1495,708,467,87,56,-99
2001,NBA,2nd,"Bruce Bowen, P.J. Brown, Kobe Bryant, Doug Christie, Shaquille O'Neal",All Defensive,1477,136,977,57,406,-99
2000,NBA,1st,"Kobe Bryant, Tim Duncan, Kevin Garnett, Alonzo Mourning, Gary Payton",All Defensive,977,1495,708,297,56,-99
2000,NBA,2nd,"Eddie Jones, Jason Kidd, Shaquille O'Neal, Scottie Pippen, Clifford Robinson",All Defensive,224,467,406,937,361,-99
1999,NBA,1st,"Tim Duncan, Jason Kidd, Alonzo Mourning, Gary Payton, Karl Malone, Scottie Pippen (T)",All Defensive,1495,467,297,56,252,937
1999,NBA,2nd,"Mookie Blaylock, P.J. Brown, Eddie Jones, Dikembe Mutombo, Theo Ratliff",All Defensive,302,136,224,87,689,-99
1998,NBA,1st,"Michael Jordan, Karl Malone, Dikembe Mutombo, Gary Payton, Scottie Pippen",All Defensive,893,252,87,56,937,-99
1998,NBA,2nd,"Mookie Blaylock, Tim Duncan, Eddie Jones, Charles Oakley, David Robinson",All Defensive,302,1495,224,891,764,-99
1997,NBA,1st,"Michael Jordan, Karl Malone, Dikembe Mutombo, Gary Payton, Scottie Pippen",All Defensive,893,252,87,56,937,-99
1997,NBA,2nd,"Mookie Blaylock, P.J. Brown, Anthony Mason, Hakeem Olajuwon, John Stockton",All Defensive,302,136,193,165,304,-99
1996,NBA,1st,"Michael Jordan, Gary Payton, Scottie Pippen, David Robinson, Dennis Rodman",All Defensive,893,56,937,764,23,-99
1996,NBA,2nd,"Mookie Blaylock, Horace Grant, Derrick McKey, Hakeem Olajuwon, Bobby Phills",All Defensive,302,270,365,165,184,-99
1995,NBA,1st,"Mookie Blaylock, Gary Payton, Scottie Pippen, David Robinson, Dennis Rodman",All Defensive,302,56,937,764,23,-99
1995,NBA,2nd,"Horace Grant, Derrick McKey, Nate McMillan, Dikembe Mutombo, John Stockton",All Defensive,270,365,203,87,304,-99
1994,NBA,1st,"Mookie Blaylock, Charles Oakley, Hakeem Olajuwon, Gary Payton, Scottie Pippen",All Defensive,302,891,165,56,937,-99
1994,NBA,2nd,"Horace Grant, Nate McMillan, David Robinson, Dennis Rodman, Latrell Sprewell",All Defensive,270,203,764,23,84,-99
1993,NBA,1st,"Joe Dumars, Michael Jordan, Hakeem Olajuwon, Scottie Pippen, Dennis Rodman",All Defensive,247,893,165,937,23,-99
1993,NBA,2nd,"Horace Grant, Dan Majerle, Larry Nance, David Robinson, John Starks",All Defensive,270,105,77685,764,317,-99
1992,NBA,1st,"Joe Dumars, Michael Jordan, Scottie Pippen, David Robinson, Dennis Rodman",All Defensive,247,893,937,764,23,-99
1992,NBA,2nd,"Patrick Ewing, Larry Nance, John Stockton, Buck Williams, Micheal Williams",All Defensive,121,77685,304,433,52,-99
1991,NBA,1st,"Michael Jordan, Alvin Robertson, David Robinson, Dennis Rodman, Buck Williams",All Defensive,893,926,764,23,433,-99
1991,NBA,2nd,"Joe Dumars, Dan Majerle, Hakeem Olajuwon, Scottie Pippen, John Stockton",All Defensive,247,105,165,937,304,-99
1990,NBA,1st,"Joe Dumars, Michael Jordan, Hakeem Olajuwon, Dennis Rodman, Buck Williams",All Defensive,247,893,165,23,433,-99
1990,NBA,2nd,"Derek Harper, Rick Mahorn, Kevin McHale, Alvin Robertson, David Robinson",All Defensive,157,328,1450,926,764,-99
1989,NBA,1st,"Joe Dumars, Mark Eaton, Michael Jordan, Larry Nance, Dennis Rodman",All Defensive,247,76631,893,77685,23,-99
1989,NBA,2nd,"Patrick Ewing, A.C. Green, Kevin McHale, Alvin Robertson, John Stockton",All Defensive,121,920,1450,926,304,-99
1988,NBA,1st,"Michael Cooper, Michael Jordan, Rodney McCray, Kevin McHale, Hakeem Olajuwon",All Defensive,76444,893,1622,1450,165,-99
1988,NBA,2nd,"Fat Lever, Karl Malone, Alvin Robertson, Buck Williams, Mark Eaton, Patrick Ewing (T)",All Defensive,77376,252,926,433,76631,121
1987,NBA,1st,"Michael Cooper, Dennis Johnson, Kevin McHale, Hakeem Olajuwon, Alvin Robertson",All Defensive,76444,77141,1450,165,926,-99
1987,NBA,2nd,"Maurice Cheeks, Mark Eaton, Derek Harper, Rodney McCray, Paul Pressey",All Defensive,76385,76631,157,1622,77879,-99
1986,NBA,1st,"Maurice Cheeks, Mark Eaton, Kevin McHale, Sidney Moncrief, Paul Pressey",All Defensive,76385,76631,1450,77626,77879,-99
1986,NBA,2nd,"Manute Bol, Michael Cooper, Bill Hanzlik, Dennis Johnson, Alvin Robertson",All Defensive,76195,76444,76944,77141,926,-99
1985,NBA,1st,"Maurice Cheeks, Michael Cooper, Mark Eaton, Sidney Moncrief, Paul Pressey",All Defensive,76385,76444,76631,77626,77879,-99
1985,NBA,2nd,"T.R. Dunn, Dennis Johnson, Bobby Jones, Hakeem Olajuwon, Danny Vranes",All Defensive,76618,77141,77193,165,78423,-99
1984,NBA,1st,"Maurice Cheeks, Michael Cooper, Bobby Jones, Sidney Moncrief, Tree Rollins",All Defensive,76385,76444,77193,77626,78014,-99
1984,NBA,2nd,"Kareem Abdul-Jabbar, Larry Bird, T.R. Dunn, Dennis Johnson, Dan Roundfield",All Defensive,76003,1449,76618,77141,78025,-99
1983,NBA,1st,"Bobby Jones, Moses Malone, Sidney Moncrief, Dan Roundfield, Maurice Cheeks, Dennis Johnson (T)",All Defensive,77193,77449,77626,78025,76385,77141
1983,NBA,2nd,"Larry Bird, Michael Cooper, T.R. Dunn, Kevin McHale, Tree Rollins",All Defensive,1449,76444,76618,1450,78014,-99
1982,NBA,1st,"Michael Cooper, Dennis Johnson, Bobby Jones, Caldwell Jones, Dan Roundfield",All Defensive,76444,77141,77193,77175,78025,-99
1982,NBA,2nd,"Larry Bird, Quinn Buckner, Sidney Moncrief, Lonnie Shelton, Jack Sikma",All Defensive,1449,76296,77626,78133,78149,-99
1981,NBA,1st,"Kareem Abdul-Jabbar, Dennis Johnson, Bobby Jones, Caldwell Jones, Micheal Ray Richardson",All Defensive,76003,77141,77193,77175,77952,-99
1981,NBA,2nd,"Quinn Buckner, George Johnson, Dan Roundfield, Kermit Washington, Dudley Bradley, Michael Cooper (T)",All Defensive,76296,77149,78025,78467,76231,76444
1980,NBA,1st,"Kareem Abdul-Jabbar, Dennis Johnson, Bobby Jones, Dan Roundfield, Don Buse, Micheal Ray Richardson (T)",All Defensive,76003,77141,77193,78025,76317,77952
1980,NBA,2nd,"Quinn Buckner, Dave Cowens, Eddie Johnson, Kermit Washington, Scott Wedman",All Defensive,76296,76462,-99,78467,78482,-99
